Line charts points 

'0', 399,
'1', 383,
'2', 408,
'3', 439,
'4', 457,
'5', 470,
'6', 464,
'7', 444,
'8', 437,
'9', 450,
'10', 458,
'11', 431,
'12', 436,
'13', 440,
'14', 422,
'15', 411,
'16', 413,
'17', 403,
'18', 396,
'19', 382,
'20', 355,
'21', 342,
'22', 345,
'23', 339,
'24', 333,
'25', 332,
'26', 338,
'27', 343,
'28', 351,
'29', 351,
'30', 349,
'31', 344,
'32', 342,
'33', 354,
'34', 356,
'35', 358,
'36', 366,
'37', 365,
'38', 365,
'39', 366,
'40', 368,
'41', 382,
'42', 397,
'43', 450,
'44', 529,
'45', 575,
'46', 602,
'47', 617,
'48', 573,
'49', 494,
'50', 426,
'51', 418,
'52', 420,
'53', 412,
'54', 394,
'55', 386,
'56', 391,
'57', 389,
'58', 386,
'59', 387,
'60', 410,
'61', 453,
'62', 507,
'63', 537,
'64', 518,
'65', 481,
'66', 442, 
'67', 420,
'68', 406,
'69', 405,
'70', 402,
'71', 399,
'72', 386,
'73', 375,
'74', 373,
'75', 363,
'76', 356,
'77', 354,
'78', 356,
'79', 353,
'80', 349,
'81', 347,
'82', 342,
'83', 344,
'84', 339,
'85', 342,
'86', 358,
'87', 381,
'88', 384,
'88.4', 395,


'D+','715','m',
'Durée','3:16:32','HH:MM:SS',
'Distance total','88,4','km',
'Vitesse Moyenne','27.0','km/h',
