X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.38888,48.172035,0,0,55,374,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38892333,48.171975,0,0,56,374,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38896667,48.171915,0,0,57,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38901,48.17185167,0,0,58,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38905,48.17178667,0,0,59,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38909167,48.17172667,0,0,60,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389135,48.17167167,0,0,61,376,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38918833,48.17161833,0,0,62,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38926667,48.171585,0,0,63,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38935667,48.171565,0,0,64,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389445,48.17154,0,0,65,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38951833,48.17150333,0,0,66,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38957167,48.17146,0,0,67,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38958167,48.1714,0,0,68,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38956833,48.17133833,0,0,69,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38955167,48.17127667,0,0,70,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38953167,48.17121333,0,0,71,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38950833,48.17115333,0,0,72,375,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38948333,48.17109167,0,0,73,376,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38946167,48.17103167,0,0,74,376,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38944,48.170975,0,0,75,377,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38942,48.17091667,0,0,76,378,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38939833,48.17085833,0,0,77,378,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38938167,48.17079833,0,0,78,378,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937333,48.17074,0,0,79,379,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937,48.17068,0,0,80,379,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38936833,48.17062,0,0,81,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389375,48.170565,0,0,82,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937833,48.17050333,0,0,83,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38938,48.17044333,0,0,84,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937833,48.17038167,0,0,85,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.389375,48.17032,0,0,86,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937167,48.17026,0,0,87,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937333,48.1702,0,0,88,380,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937333,48.17013833,0,0,89,381,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38937833,48.17008,0,0,90,381,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38938167,48.17002167,0,0,91,381,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38938333,48.16996333,0,0,92,382,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38938167,48.16990667,0,0,93,382,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
